seed,legal_break,nine_on_break,balls_potted_on_break,chain_length,terminal
7000,1,0,0,0,SafetyBail
7001,1,1,2,0,GoldenBreak
7002,1,0,0,0,SafetyBail
7003,1,0,2,0,SafetyBail
7004,1,0,2,0,SafetyBail
7005,0,0,0,0,IllegalBreak
7006,1,0,1,2,SafetyBail
7007,1,0,2,0,SafetyBail
7008,0,0,0,0,IllegalBreak
7009,1,0,0,0,SafetyBail
7010,0,0,1,0,IllegalBreak
7011,1,0,1,0,SafetyBail
7012,0,0,1,0,IllegalBreak
7013,0,0,0,0,IllegalBreak
7014,1,0,2,0,SafetyBail
7015,1,0,1,0,SafetyBail
7016,0,0,0,0,IllegalBreak
7017,1,0,0,0,SafetyBail
7018,1,1,2,0,GoldenBreak
7019,0,0,0,0,IllegalBreak
7020,1,0,1,0,Miss
7021,1,0,0,0,SafetyBail
7022,1,0,2,0,SafetyBail
7023,1,0,1,0,SafetyBail
7024,1,0,3,0,Miss
7025,1,0,0,2,Miss
7026,1,0,0,0,WrongBallFirst
7027,1,0,1,0,SafetyBail
7028,1,0,2,1,Miss
7029,0,0,1,0,IllegalBreak
7030,1,0,2,0,SafetyBail
7031,1,0,2,0,SafetyBail
7032,0,0,1,0,IllegalBreak
7033,1,0,1,0,SafetyBail
7034,1,0,1,0,SafetyBail
7035,1,0,0,0,SafetyBail
7036,1,0,1,0,SafetyBail
7037,1,0,0,0,SafetyBail
7038,1,0,0,0,SafetyBail
7039,1,0,0,0,SafetyBail
7040,1,0,0,0,SafetyBail
7041,1,0,0,0,SafetyBail
7042,1,0,3,1,WrongBallFirst
7043,0,0,2,0,IllegalBreak
7044,1,0,1,0,SafetyBail
7045,1,0,0,0,SafetyBail
7046,1,0,1,0,SafetyBail
7047,1,0,1,0,SafetyBail
7048,1,0,1,0,Miss
7049,1,0,0,0,SafetyBail
7050,0,0,0,0,IllegalBreak
7051,1,0,1,0,SafetyBail
7052,1,0,1,0,SafetyBail
7053,1,0,0,0,SafetyBail
7054,1,0,0,0,SafetyBail
7055,0,0,1,0,IllegalBreak
7056,1,0,1,0,SafetyBail
7057,0,0,3,0,IllegalBreak
7058,1,0,1,0,SafetyBail
7059,0,0,0,0,IllegalBreak
7060,1,0,0,0,SafetyBail
7061,1,0,2,0,SafetyBail
7062,1,0,1,0,SafetyBail
7063,1,0,0,0,NoContact
7064,1,0,0,0,Miss
7065,1,0,1,0,SafetyBail
7066,1,0,0,0,SafetyBail
7067,1,0,0,0,SafetyBail
7068,1,0,0,0,SafetyBail
7069,1,0,1,1,Miss
7070,0,0,0,0,IllegalBreak
7071,1,0,0,0,SafetyBail
7072,1,0,0,0,SafetyBail
7073,0,0,1,0,IllegalBreak
7074,0,0,0,0,IllegalBreak
7075,1,0,1,0,Miss
7076,0,0,0,0,IllegalBreak
7077,1,0,1,0,SafetyBail
7078,0,0,2,0,IllegalBreak
7079,1,0,0,0,Scratch
7080,0,0,0,0,IllegalBreak
7081,1,0,1,0,SafetyBail
7082,1,0,1,0,SafetyBail
7083,1,0,1,0,NoContact
7084,1,0,3,0,SafetyBail
7085,1,0,0,0,Miss
7086,1,0,1,0,Miss
7087,1,0,0,0,SafetyBail
7088,1,0,1,0,SafetyBail
7089,1,0,1,0,WrongBallFirst
7090,1,0,0,0,SafetyBail
7091,1,0,1,0,SafetyBail
7092,1,0,2,0,SafetyBail
7093,1,0,1,0,SafetyBail
7094,0,0,0,0,IllegalBreak
7095,1,0,0,0,Miss
7096,1,0,1,0,SafetyBail
7097,1,0,2,0,SafetyBail
7098,1,0,1,1,Miss
7099,1,1,2,0,GoldenBreak
