cueX,cueZ,aimDz,speed,a,b,trials,legal,gold
0.15000,0.30000,-0.01715,8.000,-0.00857,-0.00857,50,39,0
0.15000,0.30000,-0.01715,8.000,-0.00857,0.00000,50,41,0
0.15000,0.30000,-0.01715,8.000,-0.00857,0.00857,50,43,0
0.15000,0.30000,-0.01715,8.000,0.00000,-0.00857,50,42,0
0.15000,0.30000,-0.01715,8.000,0.00000,0.00000,50,43,0
0.15000,0.30000,-0.01715,8.000,0.00000,0.00857,50,40,1
0.15000,0.30000,-0.01715,8.000,0.00857,-0.00857,50,24,0
0.15000,0.30000,-0.01715,8.000,0.00857,0.00000,50,17,0
0.15000,0.30000,-0.01715,8.000,0.00857,0.00857,50,31,0
0.15000,0.30000,-0.01715,11.000,-0.00857,-0.00857,50,41,1
0.15000,0.30000,-0.01715,11.000,-0.00857,0.00000,50,41,1
0.15000,0.30000,-0.01715,11.000,-0.00857,0.00857,50,43,0
0.15000,0.30000,-0.01715,11.000,0.00000,-0.00857,50,41,0
0.15000,0.30000,-0.01715,11.000,0.00000,0.00000,50,40,0
0.15000,0.30000,-0.01715,11.000,0.00000,0.00857,50,39,0
0.15000,0.30000,-0.01715,11.000,0.00857,-0.00857,50,24,0
0.15000,0.30000,-0.01715,11.000,0.00857,0.00000,50,22,0
0.15000,0.30000,-0.01715,11.000,0.00857,0.00857,50,26,0
0.15000,0.30000,-0.01715,14.000,-0.00857,-0.00857,50,41,0
0.15000,0.30000,-0.01715,14.000,-0.00857,0.00000,50,30,0
0.15000,0.30000,-0.01715,14.000,-0.00857,0.00857,50,35,1
0.15000,0.30000,-0.01715,14.000,0.00000,-0.00857,50,33,0
0.15000,0.30000,-0.01715,14.000,0.00000,0.00000,50,33,1
0.15000,0.30000,-0.01715,14.000,0.00000,0.00857,50,35,1
0.15000,0.30000,-0.01715,14.000,0.00857,-0.00857,50,23,0
0.15000,0.30000,-0.01715,14.000,0.00857,0.00000,50,14,1
0.15000,0.30000,-0.01715,14.000,0.00857,0.00857,50,26,0
0.15000,0.30000,-0.00857,8.000,-0.00857,-0.00857,50,44,0
0.15000,0.30000,-0.00857,8.000,-0.00857,0.00000,50,41,1
0.15000,0.30000,-0.00857,8.000,-0.00857,0.00857,50,45,1
0.15000,0.30000,-0.00857,8.000,0.00000,-0.00857,50,45,0
0.15000,0.30000,-0.00857,8.000,0.00000,0.00000,50,47,0
0.15000,0.30000,-0.00857,8.000,0.00000,0.00857,50,45,0
0.15000,0.30000,-0.00857,8.000,0.00857,-0.00857,50,38,0
0.15000,0.30000,-0.00857,8.000,0.00857,0.00000,50,36,0
0.15000,0.30000,-0.00857,8.000,0.00857,0.00857,50,34,2
0.15000,0.30000,-0.00857,11.000,-0.00857,-0.00857,50,36,1
0.15000,0.30000,-0.00857,11.000,-0.00857,0.00000,50,41,0
0.15000,0.30000,-0.00857,11.000,-0.00857,0.00857,50,44,1
0.15000,0.30000,-0.00857,11.000,0.00000,-0.00857,50,39,0
0.15000,0.30000,-0.00857,11.000,0.00000,0.00000,50,39,3
0.15000,0.30000,-0.00857,11.000,0.00000,0.00857,50,40,1
0.15000,0.30000,-0.00857,11.000,0.00857,-0.00857,50,26,1
0.15000,0.30000,-0.00857,11.000,0.00857,0.00000,50,25,0
0.15000,0.30000,-0.00857,11.000,0.00857,0.00857,50,29,0
